"species","common","quadrat","domin","site","abbr","obs"
"Poa annua","Annual meadow grass",1,8,"upper","Poa.ann","upper1"
"Festuca ovina","Sheep's fescue",1,5,"upper","Fes.ovi","upper1"
"Poa trivialis","Rough meadow grass",1,5,"upper","Poa.tri","upper1"
"Ranunculus repens","Creeping buttercup",1,5,"upper","Ran.rep","upper1"
"Trifolium repens","White clover",1,5,"upper","Tri.rep","upper1"
"Plantago major","Greater plantain",1,4,"upper","Pla.maj","upper1"
"Lolium perenne","Perennial ryegrass",1,2,"upper","Lol.per","upper1"
"Rumex acetosa","Sorrel",1,2,"upper","Rum.ace","upper1"
"Veronica serpyllifolia","Thyme-leaved speedwell",1,2,"upper","Ver.ser","upper1"
"Achillea millefolium","Yarrow",1,1,"upper","Ach.mil","upper1"
"Bellis perennis","Daisy",1,1,"upper","Bel.per","upper1"
"Taraxacum officinale agg.","Dandelion",1,1,"upper","Tar.off","upper1"
"Poa annua","Annual meadow grass",2,7,"upper","Poa.ann","upper2"
"Ranunculus repens","Creeping buttercup",2,5,"upper","Ran.rep","upper2"
"Trifolium repens","White clover",2,5,"upper","Tri.rep","upper2"
"Festuca ovina","Sheep's fescue",2,3,"upper","Fes.ovi","upper2"
"Poa trivialis","Rough meadow grass",2,3,"upper","Poa.tri","upper2"
"Plantago major","Greater plantain",2,2,"upper","Pla.maj","upper2"
"Bellis perennis","Daisy",2,1,"upper","Bel.per","upper2"
"Cerastium fontanum","Common mouse ear",2,1,"upper","Cer.fon","upper2"
"Veronica serpyllifolia","Thyme-leaved speedwell",2,1,"upper","Ver.ser","upper2"
"Poa annua","Annual meadow grass",3,7,"upper","Poa.ann","upper3"
"Ranunculus repens","Creeping buttercup",3,5,"upper","Ran.rep","upper3"
"Trifolium repens","White clover",3,5,"upper","Tri.rep","upper3"
"Poa trivialis","Rough meadow grass",3,4,"upper","Poa.tri","upper3"
"Lolium perenne","Perennial ryegrass",3,2,"upper","Lol.per","upper3"
"Plantago major","Greater plantain",3,2,"upper","Pla.maj","upper3"
"Bellis perennis","Daisy",3,1,"upper","Bel.per","upper3"
"Cerastium fontanum","Common mouse ear",3,1,"upper","Cer.fon","upper3"
"Taraxacum officinale agg.","Dandelion",3,1,"upper","Tar.off","upper3"
"Veronica serpyllifolia","Thyme-leaved speedwell",3,1,"upper","Ver.ser","upper3"
