"quadrat","site","Ach.mil","Agr.cap","Alc.vul","Ant.odo","Bel.per","Bot.lun","Cam.rot","Car.car","Car.fla","Cer.fon","Cir.vul","Dac.glo","Des.ces","Fes.ovi","Gal.sax","Lol.per","Lot.cor","Luz.cam","Nar.str","Pla.lan","Pla.maj","Poa.ann","Poa.tri","Pot.ere","Pru.vul","Ran.rep","Rhy.squ","Rum.ace","Tar.off","Tri.rep","Ver.ser","Vio.riv"
1,"lower",1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0
1,"upper",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0
2,"lower",1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0
3,"lower",1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
4,"lower",1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0
4,"upper",1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0
5,"lower",1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
2,"upper",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
3,"upper",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0
5,"upper",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0
